R0001,A great place for Irish music great bar and full of great people  and great food After the Irish band more modern music on a must go
R0001,Horrible   spent  Euro 80 in take away   i think that they bought their awards on the wall youre better off going to Tesco and buying frozen chinese dinners
R0002,A great place for Irish music average bar and full of great people  and great food After Irish band more modern music on a must go
R0002,bit   spent  Euro 80 in take away   i think that they bought their awards on the wall youre better off going to Tesco and buying frozen chinese dinners
R0003,A great place for Irish music great bar and full of great people  and great food After the Irish band more modern music on a must go
R0003,Horrible   spent  Euro 80 in take away   i think that they bought their awards on the wall youre better off going to Tesco and buying frozen chinese dinners
R0004,A great place for Irish music average bar and full of great people  and great food After Irish band more modern music on a must go
R0004,bit   spent  Euro 80 in take away   i think that they bought their awards on the wall youre better off going to Tesco and buying frozen chinese dinners
R0006,A great place for Irish music great bar and full of great people  and great food After the Irish band more modern music on a must go
R0006,Horrible   spent  Euro 80 in take away   i think that they bought their awards on the wall youre better off going to Tesco and buying frozen chinese dinners
R0005,A great place for Irish music average bar and full of great people  and great food After Irish band more modern music on a must go
R0005,bit   spent  Euro 80 in take away   i think that they bought their awards on the wall youre better off going to Tesco and buying frozen chinese dinners
